#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0.04375 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.181959 0.658284 1.28957e-14 -1.65955e-29 0.199873 -1.58836e-16 -1.1639e-15 -7.25749e-22 -9.51089e-16 -2.37924e-15 -2.26178e-15 -3.76172e-17 -2.90796e-16 -1.90402e-16 -1.40349e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -6.71523e-19 2.56765e-15 -7.02744e-19 0.141843 -2.55586e-15 -1.76029e-28 -4.58527e-16 -5.06088e-21 -3.38486e-31 6.30522e-16 -1.09444e-16 -3.65774e-18 
0.0464844 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -0.0411741 0.658284 4.39255e-14 -1.5173e-29 0.199873 -1.39242e-16 -1.18594e-15 -6.36447e-22 -1.23728e-15 -1.8238e-15 -2.26197e-15 -3.76172e-17 -3.08266e-16 -1.90388e-16 -1.40347e-17 -1.07719e-15 6.84021e-17 -1.13889e-15 -6.47829e-19 2.56765e-15 -7.02774e-19 0.141843 -2.71041e-15 -1.43126e-29 -4.58461e-16 -4.88247e-21 -3.40901e-31 7.51878e-16 -1.09444e-16 -3.65775e-18 
0.0492188 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -0.628769 0.658284 1.50624e-13 -1.38894e-29 0.199873 -1.22065e-16 -1.20526e-15 -5.58146e-22 -1.55352e-15 -1.21003e-15 -2.26215e-15 -3.76172e-17 -3.25074e-16 -1.90375e-16 -1.40346e-17 -1.07719e-15 6.84021e-17 -1.13889e-15 -6.23365e-19 2.56765e-15 -7.02802e-19 0.141843 -2.85909e-15 -1.17938e-30 -4.58395e-16 -4.69821e-21 -3.4291e-31 8.71891e-16 -1.09445e-16 -3.65775e-18 
0.0519531 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -0.138914 0.658284 5.17513e-13 -1.27273e-29 0.199873 -1.07007e-16 -1.22221e-15 -4.89491e-22 -1.90058e-15 -5.36429e-16 -2.26233e-15 -3.76173e-17 -3.4121e-16 -1.90361e-16 -1.40345e-17 -1.07719e-15 6.84021e-17 -1.13889e-15 -5.98545e-19 2.56765e-15 -7.02831e-19 0.141843 -3.0018e-15 -1.11383e-31 -4.58329e-16 -4.51125e-21 -3.44607e-31 9.89901e-16 -1.09445e-16 -3.65776e-18 
0.0546875 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -0.376097 0.658284 1.77907e-12 -1.16536e-29 0.199873 -9.38062e-17 -1.23705e-15 -4.29295e-22 -2.27901e-15 1.98032e-16 -2.2625e-15 -3.76173e-17 -3.56675e-16 -1.90347e-16 -1.40344e-17 -1.07719e-15 6.84021e-17 -1.13889e-15 -5.73697e-19 2.56765e-15 -7.02858e-19 0.141843 -3.13857e-15 -2.47412e-32 -4.58263e-16 -4.32404e-21 -3.46067e-31 1.1054e-15 -1.09446e-16 -3.65777e-18 
0.0574219 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.0204541 0.658284 6.11698e-12 -1.05583e-29 0.199873 -8.22376e-17 -1.24986e-15 -3.76529e-22 -2.68916e-15 9.94057e-16 -2.26267e-15 -3.76173e-17 -3.71472e-16 -1.90333e-16 -1.40343e-17 -1.07719e-15 6.84021e-17 -1.13889e-15 -5.49074e-19 2.56765e-15 -7.02885e-19 0.141843 -3.26943e-15 -1.74605e-32 -4.58197e-16 -4.13851e-21 -3.47349e-31 1.21797e-15 -1.09446e-16 -3.65777e-18 
0.0601563 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.53844 0.658284 2.1033e-11 -9.06402e-30 0.199873 -7.21225e-17 -1.2591e-15 -3.30383e-22 -3.13185e-15 1.85325e-15 -2.26283e-15 -3.76173e-17 -3.85603e-16 -1.90319e-16 -1.40342e-17 -1.07719e-15 6.84021e-17 -1.13889e-15 -5.24899e-19 2.56765e-15 -7.02911e-19 0.141843 -3.39439e-15 -1.65635e-32 -4.58131e-16 -3.95635e-21 -3.48496e-31 1.3272e-15 -1.09447e-16 -3.65778e-18 
0.065625 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.404341 0.658284 1.59985e-10 -3.77326e-31 0.199873 -5.62533e-17 -1.21547e-15 -2.57955e-22 -4.13889e-15 3.80769e-15 -2.26311e-15 -3.7617e-17 -4.11421e-16 -1.9029e-16 -1.40339e-17 -1.07719e-15 6.84021e-17 -1.13888e-15 -4.7897e-19 2.56765e-15 -7.02961e-19 0.141843 -3.62266e-15 -1.5785e-32 -4.57999e-16 -3.61021e-21 -3.50469e-31 1.53215e-15 -1.09439e-16 -3.65779e-18 
0.0710938 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 1.70014e-08 0.658284 9.76613e-10 5.02848e-29 0.199873 -4.38755e-17 -8.64372e-17 -2.01433e-22 -5.26384e-15 5.99101e-15 -2.26314e-15 -3.761e-17 -4.34918e-16 -1.90242e-16 -1.40337e-17 -1.07719e-15 6.84021e-17 -1.13868e-15 -4.35979e-19 2.56766e-15 -7.0299e-19 0.141843 -3.83041e-15 -1.49878e-32 -4.57867e-16 -3.2862e-21 -3.52243e-31 1.72309e-15 -1.09272e-16 -3.65779e-18 
0.0765625 300 300 0.0703285 0.8 4320 0.378815 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -23.2306 0.658284 5.77598e-09 3.75692e-28 0.199873 -3.42196e-17 2.11366e-14 -1.57316e-22 -6.49809e-15 8.38705e-15 -2.25841e-15 -3.74288e-17 -4.56221e-16 -1.8982e-16 -1.40332e-17 -1.07718e-15 6.84021e-17 -1.13483e-15 -3.96084e-19 2.56769e-15 -7.02612e-19 0.141843 -4.01912e-15 -1.41778e-32 -4.57735e-16 -2.9855e-21 -3.53879e-31 1.90393e-15 -1.05999e-16 -3.65766e-18 
