# x u T N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
5.500000000000000028e-02 7.031724080673555644e-02 3.000000000052889391e+02 6.582839529338858631e-01 6.518532566561860574e-08 2.174535848696103670e-25 1.998725600064699681e-01 1.022206570021223519e-14 1.179135737593088440e-12 4.661159180504431501e-20 -2.824748773654437207e-13 2.751719028463312787e-13 1.471885570737633191e-13 -2.192401311200972856e-14 9.201036310403807634e-16 -3.651529673627856105e-14 -5.125162859510757261e-16 6.586664567605033033e-14 1.335387519400523540e-16 5.023791822299134319e-15 5.819577068396668586e-18 -2.665791756041329956e-14 -2.156536550953037117e-13 1.418434218726364326e-01 -1.281699886042162850e-13 -6.333111415630129153e-25 2.378068361560276121e-13 1.065563302582200618e-19 1.538386293874679184e-27 2.064831146440388182e-13 -6.528620962561436996e-14 3.316800521404965282e-13
5.749999999999999556e-02 7.031735995170215747e-02 3.000000000688039563e+02 6.582838794616830969e-01 2.070037504740044663e-07 1.362699495591234943e-24 1.998725311514585601e-01 9.082014905571757055e-15 9.635931541683531578e-12 4.143354627415745924e-20 -2.839351701189380087e-13 2.782626505364505407e-13 1.493998160597017328e-13 -2.177758454088152281e-14 1.138053486616080751e-15 -3.633919298923339896e-14 -5.120669363870306767e-16 6.587272026027736387e-14 1.335396319898356296e-16 6.733675188583839539e-15 7.467189787508539365e-18 -2.664231924908568925e-14 -2.156490035114687635e-13 1.418433823729595145e-01 -1.264893409175371111e-13 -5.718405406050215402e-25 2.377750751906769017e-13 1.127988868696387359e-19 1.665092490343595889e-27 2.078284908810437481e-13 -6.381829697794198202e-14 3.316750497363652870e-13
5.999999999999999778e-02 7.031774477409366564e-02 3.000000006404862347e+02 6.582836422543653088e-01 6.649593740909790667e-07 5.078714842758316505e-24 1.998724379826262998e-01 8.063837852170955556e-15 8.602493604759304833e-11 3.681874950701048024e-20 -2.835819772527858253e-13 2.801862555902337463e-13 1.702024983451113372e-13 -1.998626300050205250e-14 1.682357045774503367e-15 -3.469842065539486687e-14 -5.097173090626892959e-16 6.594039453425852141e-14 1.335502508916352078e-16 2.294371500584294257e-14 9.032046316060485170e-18 -2.649178889120469227e-14 -2.156429651134330415e-13 1.418432547170335178e-01 -1.244017125341696013e-13 -5.077172566866232895e-25 2.377433201185783025e-13 1.183270925839334785e-19 1.992869159309344866e-27 2.128686839105373323e-13 -4.993241916650379360e-14 3.316713274114782634e-13
6.124999999999999889e-02 7.031825915711102659e-02 3.000000026416647074e+02 6.582833255015501095e-01 1.276762494727340098e-06 1.051706443133573323e-23 1.998723135374431414e-01 7.584459868884804112e-15 3.543608197116768786e-10 3.466007728227975155e-20 -2.790650468130189686e-13 2.809702180296091804e-13 2.465805746640018748e-13 -1.154851034844781551e-14 3.158341502609155558e-15 -2.870091722575900239e-14 -5.007789707061942110e-16 6.623003603074859154e-14 1.336009049823952637e-16 8.260011134682870029e-14 9.790548237669768515e-18 -2.593364528550382231e-14 -2.156342525479579591e-13 1.418430838433527852e-01 -1.229328000129174905e-13 -4.757145667903872561e-25 2.377274136252456431e-13 1.209639187914749960e-19 2.918178830264528400e-27 2.252053656709802734e-13 1.187435520547583302e-15 3.316734664164609107e-13
6.187499999999999944e-02 7.031873184309710145e-02 3.000000066445026050e+02 6.582830349573211004e-01 1.838382963150580835e-06 1.644118369370221656e-23 1.998721993282121800e-01 7.351540229077143476e-15 8.927500484433560596e-10 3.362482011459760819e-20 -2.691209779287689970e-13 2.814842526871290445e-13 4.059613322717698837e-13 1.043244099541868259e-14 6.444062825541457085e-15 -1.622899650214711360e-14 -4.797256616971936110e-16 6.692192568981794901e-14 1.337345878719434480e-16 2.072888145179914070e-13 1.016586781291689949e-17 -2.476021930483241831e-14 -2.156195346323125715e-13 1.418429264374944099e-01 -1.213539076720484953e-13 -4.600190060308604404e-25 2.377194114592043210e-13 1.223300215456350213e-19 4.916680631294035535e-27 2.435473107261909165e-13 1.080863060101949789e-13 3.316834002447588256e-13
6.250000000000000000e-02 7.031946928419383069e-02 3.000000186540183904e+02 6.582825830464893446e-01 2.712999340510734446e-06 2.848873106684446818e-23 1.998720215167829606e-01 7.122467679764392068e-15 2.512519599301755547e-09 3.263373029470346891e-20 -2.379796193234504255e-13 2.824702566022968020e-13 9.025612705000309118e-13 9.410864934383709145e-14 1.781267329884564740e-14 2.251270405639844215e-14 -4.058634198516925994e-16 6.935610871889564586e-14 1.342497652318740325e-16 5.963381122432807633e-13 1.054306129677085261e-17 -2.108000654684497662e-14 -2.155761285268128404e-13 1.418426799221702839e-01 -1.168429287833444959e-13 -4.449453421778250706e-25 2.377112749646089309e-13 1.238556215926258374e-19 1.218080786403262709e-26 2.858788037398043181e-13 4.417815844193775204e-13 3.317224526673398357e-13
6.312500000000000056e-02 7.032062169365473070e-02 3.000000546842477434e+02 6.582818808206910566e-01 4.075055820867484975e-06 5.726887785722081062e-23 1.998717446760304439e-01 6.893144738262232276e-15 7.385697601765709148e-09 3.171716611288317989e-20 -1.411707768710000864e-13 2.850311736770506462e-13 2.449895916370501229e-12 4.126450405875089156e-13 5.753210022980884733e-14 1.428589856674315929e-13 -1.462181139729644173e-16 7.791988230498879099e-14 1.362359953684863481e-16 1.810242126455913592e-12 1.093587563852577698e-17 -9.537843858415660912e-15 -2.154435768279716961e-13 1.418422920545481247e-01 -1.010293006309028554e-13 -4.312573011663760478e-25 2.377027465225036334e-13 1.258078151132711834e-19 4.310106176726609292e-26 3.834354158293438622e-13 1.483454111158058244e-12 3.318667167865311166e-13
6.375000000000000111e-02 7.032242834211251126e-02 3.000001627737261174e+02 6.582807914941964933e-01 6.196233215811052642e-06 1.379979512353210652e-22 1.998713135257784712e-01 6.654785293407866754e-15 2.204706685147141977e-08 3.102601094981710759e-20 1.592311986339504267e-13 2.925308566625667875e-13 7.271224049098003269e-12 1.625248609190643405e-12 1.967079357535304141e-13 5.167065536555454417e-13 7.670707999429826250e-16 1.080483909903931607e-13 1.438946789157635421e-16 5.597870690286924409e-12 1.138088459851340273e-17 2.666172395601846968e-14 -2.150336539017840704e-13 1.418416766782841232e-01 -4.148394315875871828e-14 -4.205883449350399658e-25 2.376931004633060040e-13 1.287852422717508738e-19 2.004666209136563672e-25 6.080655974562209371e-13 4.735196313099742446e-12 3.323903021126742466e-13
6.437500000000000167e-02 7.032527789622822212e-02 3.000004870091685234e+02 6.582791068300940518e-01 9.499666228340204608e-06 3.942497626320051312e-22 1.998706413610176202e-01 6.388689046961570738e-15 6.615752316854810108e-08 3.140986057238547242e-20 1.091008034437595307e-12 3.152339559051084194e-13 2.229416569449287589e-11 6.241429004115155108e-12 6.848029376723309936e-13 1.678055869615584794e-12 3.980324787543365543e-15 2.140453650307324325e-13 1.734268425140167926e-16 1.741618173997230028e-11 1.198556971976779263e-17 1.401952539808415671e-13 -2.137598734564020338e-13 1.418406859184950242e-01 1.874247004121816254e-13 -4.162845932431207002e-25 2.376803683382422884e-13 1.341288084605746520e-19 1.131683745438770688e-24 1.125055802037126788e-12 1.488613050418449224e-11 3.342794723532996838e-13
6.468750000000000888e-02 7.032733880047463415e-02 3.000008922332830252e+02 6.582779245867516060e-01 1.184185634911626800e-05 7.223863534418562895e-22 1.998701632413176776e-01 6.230772455708270506e-15 1.214380913748836976e-07 3.351217197751543013e-20 2.291195213074722741e-12 3.440191736466580096e-13 4.172600764945954904e-11 1.340831060627336461e-11 1.387892057585876930e-12 3.176114911320701659e-12 8.622277851917372726e-15 3.671373506258178446e-13 2.198223571710833214e-16 3.272194995983510711e-11 1.248617259874916380e-17 2.879159594921340446e-13 -2.121133934613708471e-13 1.418399487511809165e-01 5.478970671538081332e-13 -4.187171768919168632e-25 2.376709647314651419e-13 1.388199908756800098e-19 3.075455296970678681e-24 1.635802040941233636e-12 2.803801523947522591e-11 3.370658604879218646e-13
6.500000000000000222e-02 7.033004171899383261e-02 3.000017025021948598e+02 6.582764316805841398e-01 1.483682295358337840e-05 1.399367821538208338e-21 1.998695481849754596e-01 6.040977254202529764e-15 2.322381859854342936e-07 4.074489995838896342e-20 4.752484950553249323e-12 4.024526232964117515e-13 8.171651353518668355e-11 3.063338098312838019e-11 2.972739452936116963e-12 6.252004574051583944e-12 1.911111150738575634e-14 7.129857793945451927e-13 3.324724296946745549e-16 6.425392139063323264e-11 1.339031936028804138e-17 5.934284207259658795e-13 -2.087239213547491212e-13 1.418389508215668615e-01 1.425897031906579575e-12 -4.260772430418817155e-25 2.376564281918804879e-13 1.461193128249290296e-19 9.118395057569362164e-24 2.478764220251399499e-12 5.514221033443842013e-11 3.434677931503361503e-13
6.531249999999999556e-02 7.033363338966222567e-02 3.000033225338125931e+02 6.582745579264055458e-01 1.866653644996752370e-05 2.843636315561102984e-21 1.998687524989238296e-01 5.801786133154053509e-15 4.543184768216999240e-07 6.459271883835521965e-20 9.800013028759600196e-12 5.211083743591953963e-13 1.640171865683031020e-10 7.203273506808051005e-11 6.545259884694846626e-12 1.256761103341196133e-11 4.281405767511275839e-14 1.494291517678447652e-12 6.059924777029306810e-16 1.292144977390669720e-10 1.539620606072163904e-17 1.225285753767320684e-12 -2.017440329665196389e-13 1.418375682034474783e-01 3.565096434906814416e-12 -4.385082795053742114e-25 2.376319550861096592e-13 1.576369704190160814e-19 2.855748344893817117e-23 3.870108587186943186e-12 1.110004895871888103e-10 3.581718840551948851e-13
6.562500000000000278e-02 7.033849720346367629e-02 3.000065612018920547e+02 6.582722277681234413e-01 2.356370937941927840e-05 6.038203369513444781e-21 1.998677129649144291e-01 5.488871151541334988e-15 8.994429785470932492e-07 1.440526764326676280e-19 2.015136639268981712e-11 7.620364436489772549e-13 3.333939023452009411e-10 1.715336689358017819e-10 1.459844744365269783e-11 2.553526960637401093e-11 9.638824687848800616e-14 3.259342913616448448e-12 1.270114390574202823e-15 2.630437569981998169e-10 2.071724346961603516e-17 2.532092207129541619e-12 -1.873672655305203383e-13 1.418355950381871566e-01 8.777813017956606627e-12 -4.511039007381088234e-25 2.375885481072452834e-13 1.759723326643690159e-19 9.245952982463321261e-23 6.166900460559622671e-12 2.261178163701849823e-10 3.919378630396080435e-13
6.578125000000001332e-02 7.034164093110374660e-02 3.000093937372810728e+02 6.582708652060456078e-01 2.652418914420202889e-05 9.037639900967986300e-21 1.998670652458555130e-01 5.293047719829824470e-15 1.289647605879655897e-06 2.443698167740117721e-19 2.940582752277096101e-11 9.755418578038367305e-13 4.852834274236514569e-10 2.736491406188374694e-10 2.241261981077192091e-11 3.714092593717606410e-11 1.485064186855113585e-13 4.975240597200711004e-12 1.957816613189521376e-15 3.831626145683887002e-10 2.737936196260634849e-17 3.708958147850265552e-12 -1.744638357764114111e-13 1.418342541184490491e-01 1.419288072262964248e-11 -4.489430610559513012e-25 2.375536074660375867e-13 1.892743172874633896e-19 1.718572666702562921e-22 7.876196289832487547e-12 3.294727558313457978e-10 4.252318771405541678e-13
6.593750000000000999e-02 7.034546023747589860e-02 3.000136407321584215e+02 6.582693633305898295e-01 2.989728359960868671e-05 1.383186955483482579e-20 1.998663020110512389e-01 5.061798257292134610e-15 1.875796734057153879e-06 4.439887119280610612e-19 4.352240836986207790e-11 1.299223120826060339e-12 7.175241272799704246e-10 4.474193378148777127e-10 3.512704433057506627e-11 5.485842506453176572e-11 2.334819143402386891e-13 7.771357459327380130e-12 3.136543565250535549e-15 5.669533127110063428e-10 4.039935052235553963e-17 5.514377076458839340e-12 -1.547194743838453301e-13 1.418325591759402038e-01 2.349840598623158552e-11 -4.312591766139702021e-25 2.375027873321598751e-13 2.066270827639060573e-19 3.271611353174474364e-22 1.014222455232417858e-11 4.876504696614989693e-10 4.800970701473208761e-13
