#x u rho mdot phi T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0.0453313 0.448498 0.810853 0.3 1.30001 386.2 417.201 0.631415 1.30381e-07 1.87637e-21 0.191715 5.44079e-17 8.10008e-11 7.41812e-21 1.94626e-14 7.84413e-13 1.90383e-13 1.02987e-14 2.46667e-14 1.32263e-15 9.00673e-18 2.81894e-16 2.38559e-19 8.03877e-14 1.73005e-18 6.12619e-16 1.42904e-15 0.17687 1.21547e-13 4.13261e-26 2.78975e-20 4.29762e-19 8.71778e-26 1.54359e-11 2.67262e-13 1.24409e-15 
0.0461125 0.491788 0.739477 0.3 1.30002 423.475 468.282 0.631415 5.6777e-07 2.11232e-19 0.191714 5.74569e-16 1.03084e-09 4.27085e-19 2.69278e-13 1.07854e-11 2.6566e-12 1.84376e-13 3.97646e-13 1.83366e-14 1.45843e-16 4.57437e-15 5.98537e-19 1.13098e-12 6.36006e-17 8.59218e-15 1.99209e-14 0.17687 2.23013e-12 7.97912e-25 5.02936e-19 1.31965e-17 9.48057e-24 1.3739e-10 3.72518e-12 2.07158e-14 
0.0468937 0.556729 0.653218 0.3 1.30009 479.386 542.194 0.631414 2.38152e-06 2.89853e-17 0.191714 6.74904e-15 1.19831e-08 2.87054e-17 3.46023e-12 1.37701e-10 3.44365e-11 3.03052e-12 5.89698e-12 2.36081e-13 2.17549e-15 6.82269e-14 6.52272e-18 1.48123e-11 1.93908e-15 1.11853e-13 2.57802e-13 0.176869 3.72747e-11 6.27559e-23 8.31131e-18 4.4361e-16 8.73365e-22 1.1492e-09 4.81711e-11 3.17648e-13 
0.047675 0.652447 0.557388 0.3 1.30036 561.761 647.041 0.631412 9.2125e-06 4.2868e-15 0.191713 1.07434e-13 1.21845e-07 1.63944e-15 3.97261e-11 1.56615e-09 3.99033e-10 4.40511e-11 7.71624e-11 2.73351e-12 2.87946e-14 9.02411e-13 9.22184e-17 1.7383e-10 4.47769e-14 1.30011e-12 2.9852e-12 0.176866 5.33589e-10 5.89714e-21 1.21903e-16 1.57629e-14 6.5158e-20 8.67011e-09 5.54981e-10 4.32189e-12 
0.0484562 0.788202 0.461386 0.3 1.30126 678.466 790.013 0.631402 3.23249e-05 4.95759e-13 0.191709 3.11288e-12 1.0633e-06 8.35536e-14 3.99685e-10 1.52091e-08 4.06362e-09 5.56292e-10 8.66624e-10 2.91504e-11 3.32572e-13 1.04062e-11 1.1632e-15 1.79741e-09 7.90851e-13 1.32654e-11 3.06817e-11 0.176855 6.06118e-09 5.97892e-19 1.61094e-15 5.48399e-13 4.44847e-18 5.84974e-08 5.54981e-09 5.13272e-11 
0.0488469 0.87116 0.41745 0.3 1.30248 749.598 878.59 0.63139 6.40947e-05 6.50978e-12 0.191704 4.21798e-11 4.03691e-06 1.16166e-12 1.67036e-09 5.50554e-08 1.77397e-08 2.9015e-09 3.96646e-09 1.61364e-10 1.61332e-12 5.03172e-11 6.06071e-15 7.98096e-09 5.45547e-12 5.80386e-11 1.40729e-10 0.176837 2.51962e-08 1.95966e-17 1.03004e-14 6.95149e-12 6.55421e-17 1.90492e-07 2.29425e-08 2.51511e-10 
0.0490422 0.917625 0.396312 0.3 1.30359 789.311 927.96 0.631378 9.34942e-05 2.71429e-11 0.191699 1.9022e-10 9.32551e-06 5.79967e-12 4.06353e-09 1.1506e-07 4.59533e-08 8.70869e-09 1.06388e-08 5.23379e-10 4.56063e-12 1.4164e-10 1.81462e-14 2.10296e-08 1.9933e-11 1.50694e-10 3.84418e-10 0.176819 6.30055e-08 2.04113e-16 3.75804e-14 3.55834e-11 3.43055e-16 3.9792e-07 5.60829e-08 7.09871e-10 
0.0492375 0.968721 0.375408 0.3 1.30525 832.83 981.131 0.631361 0.000138407 1.09971e-10 0.19169 8.08944e-10 2.31316e-05 3.00508e-11 1.06101e-08 2.48684e-07 1.30094e-07 2.91146e-08 3.14235e-08 1.85221e-09 1.42524e-11 4.40083e-10 6.03781e-14 6.08193e-08 8.38877e-11 4.27703e-10 1.15218e-09 0.176786 1.76432e-07 2.14839e-15 1.5062e-13 1.72975e-10 2.006e-15 8.85635e-07 1.48235e-07 2.20867e-09 
0.0494328 1.02458 0.35494 0.3 1.30766 880.166 1038.2 0.631335 0.000206075 4.20403e-10 0.191673 3.21146e-09 5.81371e-05 1.4977e-10 2.719e-08 5.12342e-07 3.7311e-07 9.86403e-08 9.30592e-08 6.69945e-09 4.52102e-11 1.38182e-09 2.02578e-13 1.78978e-07 3.73778e-10 1.22789e-09 3.49691e-09 0.176723 4.94992e-07 2.23512e-14 6.12341e-13 8.11595e-10 1.22315e-14 2.02403e-06 3.8809e-07 6.87063e-09 
0.0495305 1.05425 0.344953 0.3 1.30926 905.158 1068.25 0.631317 0.000253061 8.52336e-10 0.191658 6.63245e-09 9.55955e-05 3.4644e-10 4.36181e-08 7.19374e-07 6.63028e-07 1.95335e-07 1.66378e-07 1.38536e-08 8.5876e-11 2.59059e-09 3.96414e-13 3.24581e-07 8.62813e-10 2.17559e-09 6.30725e-09 0.176669 8.45401e-07 8.48784e-14 1.36516e-12 1.93639e-09 3.32124e-14 3.17669e-06 6.35755e-07 1.25868e-08 
