# x u T N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
1.953125000000000379e-04 3.568756639153516236e-02 3.754463456509798220e+02 6.700414928233802137e-01 3.614353654563607146e-04 7.330702524606801078e-14 1.700598531752678388e-01 5.916869752050357553e-17 4.785617810852602766e-02 2.573996042616806501e-11 1.502012636391937253e-06 1.761371912133604812e-08 1.868861030102957340e-05 3.213171912376043115e-04 5.916253190880313962e-06 1.082823304102162416e-06 1.269536404890159209e-07 2.877071813868175822e-06 1.979921055392629724e-09 1.341254819287724431e-05 3.991796934359904174e-10 2.715181941376429056e-07 9.263311930968375019e-09 1.112954582141446047e-01 8.944832143439451411e-06 8.621952945450599688e-17 1.146678563476538439e-14 1.992553186894786774e-16 6.867825682782864817e-15 1.140311106384394232e-08 1.136609600722783400e-05 3.569526565787242925e-08
2.148437500000000282e-04 3.642455752563018845e-02 3.831091499874618194e+02 6.703265680552374928e-01 3.636143521458792480e-04 9.317414497436694359e-14 1.694005830175888960e-01 1.044529171899525499e-16 4.878899870251152820e-02 2.886671156069279856e-11 1.534563238845250940e-06 2.046652229773866240e-08 1.910566380227459926e-05 3.304863088338117752e-04 6.073664916049298348e-06 1.102457954738098769e-06 1.302857734722260858e-07 2.943293324856509315e-06 2.030553727211391403e-09 1.370904846367931671e-05 4.117916849775817936e-10 2.775121834223225600e-07 9.484449935825566451e-09 1.107239645720776433e-01 9.207172726349345266e-06 6.835969484710963160e-17 1.310991314053675387e-14 3.148221542057026721e-16 7.976121856864169419e-15 1.334773495386797648e-08 1.161853631831175518e-05 3.699861273032336916e-08
2.343750000000000455e-04 3.716371415036997389e-02 3.907910890650720148e+02 6.706156870876988085e-01 3.657771081422254988e-04 1.178397994031360922e-13 1.687374181422757469e-01 1.869219253535022157e-16 4.972219162829393663e-02 3.235983002684306167e-11 1.567304245741521076e-06 2.374644781855178525e-08 1.952673140222441201e-05 3.397640295183097748e-04 6.233355372187117843e-06 1.121654535636318177e-06 1.336066423667738803e-07 3.009058161540443309e-06 2.080961465256945490e-09 1.400775467798766390e-05 4.258201272296813392e-10 2.835464017299369839e-07 9.710502911957086433e-09 1.101518431169444673e-01 9.472873365912210669e-06 5.373179249539992785e-17 1.505687848542873378e-14 4.950106183580932300e-16 9.247130611477603462e-15 1.558690615726953610e-08 1.187306018039141293e-05 3.835543880215565510e-08
2.734375000000000260e-04 3.864812337685231275e-02 4.062099578955777019e+02 6.712003602272400560e-01 3.700142670792105795e-04 1.845416844234071075e-13 1.674123325370726889e-01 5.404619985864998459e-16 5.157174879886854829e-02 4.036563642661030982e-11 1.632712034588973434e-06 3.163619479660549768e-08 2.037303605035760431e-05 3.584624412880041693e-04 6.556475635290047433e-06 1.158293860097289944e-06 1.401331216738737541e-07 3.137815120569467505e-06 2.180015671558725529e-09 1.460595319963368711e-05 4.580627191191818809e-10 2.956178884638658521e-07 1.017417200309164301e-08 1.090166824771484078e-01 1.000911976266045692e-05 3.280631170266158424e-17 1.996921643314107664e-14 1.147320114868467555e-15 1.228558462708924239e-14 2.098089507256281519e-08 1.238341342991247662e-05 4.120582542888341896e-08
3.125000000000000607e-04 4.014067959428588295e-02 4.216999062951869632e+02 6.718010591120320285e-01 3.741942254637256539e-04 2.841286485038751345e-13 1.660718033877764399e-01 1.540006308038328962e-15 5.342324943441582874e-02 5.012006712369660536e-11 1.698841215259852818e-06 4.177570247148085309e-08 2.123692484360486149e-05 3.775871424793740311e-04 6.888819753668740120e-06 1.192842321358582009e-06 1.465440902426258652e-07 3.264123952824819797e-06 2.277658710368034589e-09 1.521291456431231922e-05 4.971083469784272446e-10 3.078493182715635884e-07 1.066334959126900758e-08 1.078785696079680306e-01 1.055858406228640726e-05 1.943622985326094991e-17 2.682910249269857325e-14 2.591327628829867509e-15 1.617366306005421254e-14 2.791991287317899444e-08 1.290216752140993105e-05 4.428681410232717017e-08
3.515625000000000954e-04 4.164115917824250807e-02 4.372584575094950878e+02 6.724179271883460318e-01 3.783204726326595412e-04 4.308687681172059296e-13 1.647156549217047017e-01 4.160532352160320984e-15 5.527703244667622057e-02 6.189098304835264662e-11 1.765669605596099917e-06 5.463489836048755404e-08 2.211987678743056838e-05 3.971418092674543166e-04 7.230543965276988862e-06 1.225042584658153513e-06 1.527958419452442663e-07 3.387542878668180745e-06 2.373530613418143349e-09 1.582874177827186147e-05 5.438148718987398342e-10 3.202426429354905197e-07 1.118337096126783271e-08 1.067371886942575926e-01 1.112140149094164404e-05 1.122535183594142099e-17 3.641707846679603353e-14 5.647335874476831323e-15 2.108495855645621635e-14 3.671254332487580348e-08 1.342947425510625543e-05 4.761586051222428475e-08
3.906250000000000759e-04 4.314938006421267791e-02 4.528835711816365119e+02 6.730510895962045215e-01 3.823961824720425919e-04 6.450730782144531983e-13 1.633437181332169641e-01 1.065129054605610910e-14 5.713342680207308261e-02 7.599474365969350084e-11 1.833166907222518096e-06 7.075952112685875057e-08 2.302354698560874687e-05 4.171301602052867393e-04 7.581728283016163905e-06 1.254633082172307428e-06 1.588469533985300682e-07 3.507619638363055655e-06 2.467258166687127103e-09 1.645353524267858164e-05 5.991116991991733992e-10 3.327996991475973263e-07 1.174067860756571235e-08 1.055922455014116912e-01 1.169770660431744303e-05 6.435460739509599471e-18 4.984215169213058200e-14 1.188156992820700468e-14 2.722477598380983030e-14 4.771389954932291284e-08 1.396546066742623555e-05 5.121274457062939531e-08
4.296875000000000564e-04 4.466519589109857469e-02 4.685735813756031121e+02 6.737006568904130299e-01 3.864242503952547815e-04 9.555869039903150323e-13 1.619558308359297649e-01 2.594905682674500552e-14 5.899274936195764846e-02 9.280334702412364200e-11 1.901293459613864895e-06 9.077422661307824050e-08 2.394977100055543641e-05 4.375559401864267668e-04 7.942363157930650816e-06 1.281353679136390860e-06 1.646581145996265954e-07 3.623892176137558719e-06 2.558457750127240623e-09 1.708739370786919071e-05 6.640886539993245968e-10 3.455222173098487102e-07 1.234299666004522660e-08 1.044434657403039424e-01 1.228763070515603934e-05 3.876496543611117727e-18 6.867533343982709254e-14 2.418045332516857690e-14 3.483529473080991997e-14 6.133035846071767981e-08 1.451022734727248097e-05 5.509941842533963610e-08
4.687500000000000911e-04 4.618849092145747848e-02 4.843271428668549561e+02 6.743667279865248609e-01 3.904073251393474163e-04 1.403394871904324952e-12 1.605518375983058244e-01 6.043429841712118169e-14 6.085530352729582454e-02 1.127521007173921826e-10 1.969998797252411545e-06 1.153841106612891020e-07 2.490056835944685326e-05 4.584229069294458187e-04 8.312334905894054187e-06 1.304953421978727000e-06 1.701921344750908565e-07 3.735889391249040648e-06 2.646736800523140159e-09 1.773041532048831554e-05 7.400769317740258935e-10 3.584118288333335707e-07 1.299953985399664919e-08 1.032905935231486633e-01 1.289129859662635304e-05 2.808913527691932948e-18 9.513318097185952268e-14 4.771364062930799414e-14 4.420257935012963333e-14 7.802608441147718439e-08 1.506384606411520570e-05 5.929984478199449998e-08
5.078125000000000173e-04 4.771917563989204469e-02 5.001431846442883966e+02 6.750493924971436854e-01 3.943478362424521536e-04 2.046733638974393486e-12 1.591315896007889918e-01 1.351105882723326943e-13 6.272137847736657112e-02 1.363506002122485839e-10 2.039220009860858164e-06 1.453741134158684559e-07 2.587814493242876170e-05 4.797348193864499105e-04 8.691410294909882565e-06 1.325200503427815013e-06 1.754140421058199371e-07 3.843131984641085860e-06 2.731694318188915259e-09 1.838269880250216251e-05 8.287262054977608359e-10 3.714700717804975794e-07 1.372126724186905205e-08 1.021333899169509923e-01 1.350882462421467850e-05 2.872641896332950335e-18 1.323268738101002254e-13 9.151632070858877115e-14 5.566585463084906781e-14 9.833170498943794773e-08 1.562635657589921497e-05 6.383981263548732980e-08
