#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.340849 0.824933 4320 0.378799 1.343 574.643 1591.82 1340.4 0.55 0.9 302861 0.6 -21.4874 -nan 0.658284 -5.96952e-19 1.26616e-18 0.199873 1.80853e-17 6.93512e-21 -4.34662e-21 -1.47741e-18 1.2251e-19 -1.58553e-20 -9.07536e-19 2.31887e-21 1.3223e-22 1.19132e-22 1.42216e-18 -9.3469e-21 -2.9866e-17 6.53084e-22 -1.95957e-19 -7.98908e-23 0.141843 -3.72419e-18 -3.43352e-18 1.20595e-25 2.93913e-24 3.15508e-35 -2.66977e-20 1.20103e-17 -1.10795e-20 
0.01915 300.072 300.077 0.340931 0.824933 4320 0.378696 1.343 574.735 1591.82 1340.4 0.55 0.9 302901 0.6 -334.476 -965.585 0.658284 7.03055e-17 6.07338e-24 0.199873 1.1931e-17 2.78467e-18 5.47612e-23 -6.07994e-18 5.11256e-17 -6.97324e-18 -9.07536e-19 1.16222e-18 1.38571e-22 1.19134e-22 1.42216e-18 -9.3469e-21 -2.9866e-17 2.95424e-20 -1.95957e-19 -7.98906e-23 0.141843 6.95926e-18 -1.74929e-19 1.20655e-25 7.41969e-22 1.32656e-32 -6.25276e-18 1.20103e-17 -1.10791e-20 
0.028725 300.424 300.466 0.341331 0.824933 4320 0.378355 1.343 575.202 1591.82 1340.4 0.55 0.9 303096 0.6 -1978.69 -10608 0.658284 3.05555e-15 -4.78432e-27 0.199873 1.06475e-17 4.05251e-18 4.98911e-23 -1.24439e-17 6.346e-17 -7.28774e-18 -9.07536e-19 2.20092e-18 1.43643e-22 1.19135e-22 1.42216e-18 -9.3469e-21 -2.9866e-17 5.24507e-20 -1.95957e-19 -7.98687e-23 0.141843 1.65556e-17 -1.68342e-20 1.20965e-25 1.16087e-21 -3.41806e-35 -1.40177e-17 1.20103e-17 -1.10788e-20 
0.0335125 301.397 301.624 0.342436 0.824933 4320 0.377663 1.343 576.587 1591.82 1340.4 0.55 0.9 303635 0.6 -7187.98 -62360.5 0.658284 6.65236e-14 -5.60309e-27 0.199873 1.00868e-17 4.77975e-18 4.92361e-23 -1.67124e-17 7.17349e-17 -7.30263e-18 -9.07533e-19 2.86213e-18 1.47987e-22 1.19138e-22 1.42216e-18 -9.3469e-21 -2.9866e-17 6.50819e-20 -1.95956e-19 -7.81233e-23 0.141843 2.27585e-17 -2.89116e-21 1.21183e-25 1.36018e-21 -7.98703e-36 -1.91762e-17 1.20105e-17 -1.10779e-20 
0.0359063 302.917 303.624 0.344164 0.824933 4320 0.376141 1.343 578.96 1591.82 1340.4 0.55 0.9 304477 0.6 -18895.3 -197964 0.658284 7.54406e-13 -6.02082e-27 0.199873 9.80145e-18 8.90292e-18 5.08173e-23 -1.90858e-17 7.63532e-17 -7.29065e-18 -9.07388e-19 3.23599e-18 1.97988e-22 1.1925e-22 1.42217e-18 -9.3469e-21 -2.98627e-17 7.05212e-20 -1.95923e-19 -8.58716e-24 0.141843 2.63466e-17 -8.21936e-22 1.21503e-25 1.4371e-21 5.46653e-36 -1.74381e-17 1.20196e-17 -1.10446e-20 
0.0383 306.833 308.647 0.348613 0.824933 4320 0.373487 1.343 584.82 1591.82 1340.4 0.55 0.9 306647 0.6 -56401.3 -506198 0.658284 1.08197e-11 -6.55174e-27 0.199873 9.47885e-18 1.99004e-16 5.71115e-23 -2.15558e-17 8.20328e-17 -6.84412e-18 -8.97308e-19 3.70283e-18 2.73019e-21 1.26187e-22 1.42264e-18 -9.34689e-21 -2.96932e-17 7.30035e-20 -1.94142e-19 3.66695e-21 0.141843 3.08174e-17 -2.13615e-22 1.3646e-25 1.45803e-21 6.11616e-35 1.39402e-16 1.24996e-17 -8.9162e-21 
0.0398625 312.305 316.139 0.35483 0.824933 4320 0.368963 1.343 593.298 1591.82 1340.4 0.55 0.9 309680 0.6 -142541 -1.06708e+06 0.658284 9.03673e-11 -7.00097e-27 0.199873 9.22922e-18 5.24505e-15 6.81165e-23 -2.20276e-17 1.07715e-16 5.51631e-18 -5.24009e-19 5.32536e-18 7.35951e-20 3.57203e-22 1.43828e-18 -9.34658e-21 -2.4908e-17 7.09255e-20 -1.43583e-19 1.07348e-19 0.141843 3.80378e-17 -6.70381e-23 6.94574e-25 1.41138e-21 7.92946e-34 2.95605e-15 2.60395e-17 6.39539e-20 
0.041425 323.254 330.783 0.367269 0.824933 4320 0.360652 1.343 609 1591.82 1340.4 0.55 0.9 315751 0.6 -395292 -2.05129e+06 0.658284 8.47469e-10 -2.52556e-27 0.199873 9.03668e-18 1.63235e-13 9.81731e-23 1.43456e-17 8.51206e-16 4.16787e-16 1.57663e-17 5.70067e-17 2.42047e-18 9.43247e-21 2.05265e-18 -9.33278e-21 1.34966e-16 6.28627e-20 1.5539e-18 3.56519e-18 0.141843 2.10783e-16 -1.67537e-23 2.53624e-23 1.33549e-21 1.01277e-30 6.16994e-14 4.77608e-16 3.00643e-18 
0.0429875 345.135 359.65 0.39213 0.824933 4320 0.346246 1.343 636.801 1591.82 1340.4 0.55 0.9 327887 0.6 -1.13012e+06 -3.73726e+06 0.658284 7.70409e-09 2.14656e-24 0.199873 1.23024e-17 4.8022e-12 2.87298e-22 1.19711e-15 2.3878e-14 1.33768e-14 6.85954e-16 1.95258e-15 7.59538e-17 3.45811e-19 2.48243e-17 -8.75672e-21 5.19829e-15 7.32692e-20 5.54706e-17 1.12665e-16 0.141843 7.30213e-15 -2.65955e-24 1.05191e-21 5.79901e-21 5.7933e-28 1.22146e-12 1.47252e-14 1.15104e-16 
0.04455 388.695 416.07 0.441622 0.824933 4320 0.331297 1.343 680.653 1591.82 1340.4 0.55 0.9 351997 0.6 -3.18613e+06 -6.63884e+06 0.658284 6.44861e-08 1.35727e-21 0.199873 9.07243e-17 1.26062e-10 1.2003e-20 3.47376e-14 6.72041e-13 3.83357e-13 2.54805e-14 6.49718e-14 2.16113e-15 1.15754e-17 7.85001e-16 1.28114e-20 1.50814e-13 2.72131e-18 1.60519e-15 3.22769e-15 0.141843 2.75899e-13 -1.75807e-25 3.93723e-20 3.7219e-19 2.49378e-25 2.19994e-11 4.21516e-13 3.96084e-15 
0.0453313 423.082 463.9 0.480692 0.824933 4320 0.317237 1.343 708.976 1591.82 1340.4 0.55 0.9 370930 0.6 -6.09553e+06 -9.50748e+06 0.658284 2.40153e-07 9.63975e-20 0.199873 7.79462e-16 1.24408e-09 4.57939e-19 3.7561e-13 7.21765e-12 4.17338e-12 3.51248e-13 8.10741e-13 2.338e-14 1.45088e-16 9.82132e-15 2.98873e-19 1.65679e-12 8.11654e-17 1.75703e-14 3.51129e-14 0.141843 3.88072e-12 9.79494e-25 5.46022e-19 1.46309e-17 1.71374e-23 1.56844e-10 4.5844e-12 5.09252e-14 
0.0461125 474.598 532.141 0.539228 0.824933 4320 0.30074 1.343 738.954 1591.82 1340.4 0.55 0.9 399047 0.6 -1.18328e+07 -1.18077e+07 0.658284 9.64156e-07 1.10728e-17 0.199872 8.56459e-15 1.39464e-08 2.80968e-17 4.70686e-12 8.98783e-11 5.27229e-11 5.63855e-12 1.17452e-11 2.93417e-13 2.11323e-15 1.42986e-13 4.9744e-18 2.11672e-11 2.51011e-15 2.23018e-13 4.43005e-13 0.141843 6.33947e-11 8.43573e-23 8.81113e-18 5.12577e-16 1.50055e-21 1.26873e-09 5.77969e-11 7.61581e-13 
0.0468937 549.989 628.089 0.624906 0.824933 4320 0.282566 1.343 767.583 1591.82 1340.4 0.55 0.9 439526 0.6 -2.22218e+07 -1.30115e+07 0.658282 3.69388e-06 1.47125e-15 0.199872 1.20758e-13 1.40871e-07 1.60112e-15 5.41131e-11 1.02652e-09 6.11336e-10 8.20136e-11 1.54273e-10 3.39554e-12 2.80123e-14 1.89367e-12 7.28096e-17 2.48681e-10 6.23453e-14 2.59489e-12 5.13662e-12 0.141842 9.16508e-10 8.51791e-21 1.29123e-16 1.9026e-14 1.09764e-19 9.55289e-09 6.67107e-10 1.03656e-11 
0.047675 656.659 758.314 0.746188 0.824933 4320 0.263989 1.343 794.432 1591.82 1340.4 0.55 0.9 495211 0.6 -3.89509e+07 -1.19856e+07 0.658278 1.29979e-05 1.8044e-13 0.19987 2.88619e-12 1.23554e-06 7.7829e-14 5.51339e-10 1.02945e-08 6.29093e-09 1.04625e-09 1.76565e-09 3.59445e-11 3.27265e-13 2.20772e-11 9.30722e-16 2.59757e-09 1.21742e-12 2.67546e-11 5.34748e-11 0.141838 1.08388e-08 9.4703e-19 1.70463e-15 7.07974e-13 6.57742e-18 6.49487e-08 6.7724e-09 1.24717e-10 
