#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.374934 0.824933 4320 0.378806 1.343 574.643 1591.82 1340.4 0.55 0.9 314031 0.6 -12.7497 -31441.2 0.658284 -2.71061e-22 2.06525e-19 0.199873 -1.2079e-18 -1.62865e-22 -3.11536e-21 -1.62231e-18 1.28197e-20 3.31904e-21 1.31715e-18 2.87634e-24 4.79815e-23 -1.14391e-21 1.25721e-18 4.53765e-22 3.71991e-18 1.07851e-21 1.39841e-19 -7.7021e-23 0.141843 1.32137e-18 7.62346e-19 -8.03228e-25 8.46437e-30 5.10259e-36 -2.58481e-22 2.64811e-18 -5.96865e-18 
0.01915 300.042 300.044 0.374986 0.824933 4320 0.378744 1.343 574.696 1591.82 1340.4 0.55 0.9 314055 0.6 -210.54 -587.072 0.658284 8.95535e-18 1.08823e-24 0.199873 -3.25298e-19 -7.19209e-20 -1.55681e-24 -1.11447e-18 5.88383e-18 1.54698e-18 1.31715e-18 1.58598e-21 3.72595e-23 -1.14391e-21 1.25721e-18 4.53765e-22 3.71991e-18 4.46834e-23 1.39841e-19 -7.70209e-23 0.141843 1.32137e-18 4.25381e-20 -8.02855e-25 2.34989e-27 2.35946e-33 -1.24353e-19 2.64811e-18 -5.96866e-18 
0.028725 300.253 300.28 0.375251 0.824933 4320 0.378528 1.343 574.979 1591.82 1340.4 0.55 0.9 314176 0.6 -1327.59 -6912.15 0.658284 4.23781e-16 1.16818e-29 0.199873 -2.57463e-19 -9.93431e-20 -1.19093e-24 -8.76431e-19 5.42191e-18 1.62867e-18 1.31715e-18 1.64811e-21 3.19079e-23 -1.14391e-21 1.25721e-18 4.53765e-22 3.71991e-18 3.54796e-24 1.39841e-19 -7.70202e-23 0.141843 1.32137e-18 4.48276e-21 -8.02662e-25 3.15161e-27 -2.91925e-35 -1.72926e-19 2.64811e-18 -5.96866e-18 
0.0335125 300.872 301.025 0.376023 0.824933 4320 0.378065 1.343 575.872 1591.82 1340.4 0.55 0.9 314531 0.6 -5064.81 -43389.8 0.658284 1.01185e-14 -2.4094e-32 0.199873 -2.41422e-19 -1.07978e-19 -1.15771e-24 -7.66043e-19 5.2077e-18 1.6365e-18 1.31715e-18 1.65263e-21 2.9259e-23 -1.14391e-21 1.25721e-18 4.53765e-22 3.71992e-18 5.03646e-25 1.39841e-19 -7.69626e-23 0.141843 1.32137e-18 8.44841e-22 -8.02563e-25 3.79047e-27 -2.81598e-35 -1.81851e-19 2.64812e-18 -5.96866e-18 
0.0359063 301.884 302.385 0.377289 0.824933 4320 0.376991 1.343 577.492 1591.82 1340.4 0.55 0.9 315113 0.6 -13634.8 -144884 0.658284 1.25526e-13 -2.50453e-32 0.199873 -2.34611e-19 8.25584e-20 -1.18998e-24 -7.14104e-19 5.10779e-18 1.63809e-18 1.31715e-18 1.67289e-21 2.95185e-23 -1.14391e-21 1.25721e-18 4.53765e-22 3.72005e-18 1.08267e-25 1.39842e-19 -7.44381e-23 0.141843 1.32142e-18 2.63213e-22 -8.02505e-25 3.87475e-27 -2.75689e-35 2.09181e-19 2.64845e-18 -5.96866e-18 
0.0383 304.606 305.95 0.380691 0.824933 4320 0.375036 1.343 581.692 1591.82 1340.4 0.55 0.9 316677 0.6 -41233.7 -387921 0.658284 1.98224e-12 5.88003e-33 0.199873 -2.27397e-19 1.09832e-17 -1.33265e-24 -6.65724e-19 5.06463e-18 1.65835e-18 1.31751e-18 3.04463e-21 1.21757e-22 -1.14362e-21 1.25722e-18 4.53765e-22 3.72813e-18 -1.31131e-26 1.39905e-19 7.30214e-23 0.141843 1.32477e-18 7.72798e-23 -8.01895e-25 -1.62813e-28 -2.5477e-35 1.47868e-17 2.66734e-18 -5.96859e-18 
0.0398625 308.54 311.487 0.385608 0.824933 4320 0.371549 1.343 588.07 1591.82 1340.4 0.55 0.9 318938 0.6 -104660 -848930 0.658284 1.8151e-11 1.56287e-30 0.199873 -2.20829e-19 3.33204e-16 -1.58002e-24 -5.93046e-19 6.48625e-18 2.27822e-18 1.33194e-18 5.35657e-20 3.02931e-21 -1.13293e-21 1.25777e-18 4.53778e-22 3.981e-18 -2.02834e-24 1.41885e-19 4.68601e-21 0.141843 1.46617e-18 2.78583e-23 -7.78807e-25 -5.43176e-26 1.33475e-35 2.98209e-16 3.25832e-18 -5.96602e-18 
0.041425 316.658 322.654 0.395753 0.824933 4320 0.364841 1.343 600.424 1591.82 1340.4 0.55 0.9 323604 0.6 -291768 -1.69564e+06 0.658284 1.88462e-10 9.64727e-29 0.199873 -1.88669e-19 1.16261e-14 -2.0379e-24 1.0977e-18 6.05138e-17 2.53033e-17 2.0365e-18 2.26366e-18 1.10552e-19 -6.63778e-22 1.28167e-18 4.54398e-22 1.3405e-17 -2.15503e-22 2.16111e-19 1.76423e-19 0.141843 8.53011e-18 8.42407e-24 3.60849e-25 3.55283e-24 7.0679e-33 6.87601e-15 2.526e-17 -5.85018e-18 
0.0429875 333.37 345.373 0.416639 0.824933 4320 0.352561 1.343 623.553 1591.82 1340.4 0.55 0.9 333215 0.6 -843355 -3.23747e+06 0.658284 1.91304e-09 4.30104e-26 0.199873 3.88723e-19 3.87868e-13 4.91795e-24 6.00284e-17 1.95839e-15 8.44448e-16 3.48558e-17 9.46216e-17 3.91519e-18 1.90114e-20 2.28411e-18 4.83722e-22 3.50108e-16 4.43731e-22 2.87873e-18 6.29587e-18 0.141843 3.4604e-16 1.72119e-24 5.40994e-23 3.52527e-22 4.84789e-30 1.53163e-13 8.0924e-16 -8.56245e-19 
0.04455 367.692 391.302 0.459534 0.824933 4320 0.339176 1.343 662.96 1591.82 1340.4 0.55 0.9 352939 0.6 -2.43344e+06 -6.05415e+06 0.658284 1.81174e-08 2.82156e-23 0.199873 1.28233e-17 1.17713e-11 6.36045e-22 1.97627e-15 6.32965e-14 2.76875e-14 1.4345e-15 3.63158e-15 1.2781e-16 7.75396e-19 4.08213e-17 1.75081e-21 1.1453e-14 9.34165e-20 9.07756e-17 2.06961e-16 0.141843 1.50965e-14 1.69108e-25 2.36947e-21 2.65416e-20 2.80801e-27 3.15387e-12 2.6517e-14 1.96469e-16 
