#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.397657 0.824933 4320 0.378809 1.343 574.643 1591.82 1340.4 0.55 0.9 321132 0.6 -8.86228 -31411.7 0.658284 -6.88735e-20 2.72043e-19 0.199873 1.17834e-18 1.16908e-21 3.98709e-26 4.30816e-20 2.56675e-20 -1.72726e-19 4.09147e-19 -1.60562e-22 1.08763e-18 -2.68382e-19 1.25471e-21 1.69219e-19 2.81346e-18 -2.22261e-20 2.10719e-20 -3.78949e-19 0.141843 -5.53249e-20 -1.16615e-18 -1.47047e-23 4.90222e-19 6.57731e-36 4.31093e-21 -2.67441e-19 -9.20773e-19 
0.01915 300.028 300.03 0.397695 0.824933 4320 0.378766 1.343 574.679 1591.82 1340.4 0.55 0.9 321148 0.6 -154.476 -419.688 0.658284 2.02898e-18 1.51776e-24 0.199873 -5.64134e-20 5.47584e-19 1.25994e-23 -1.7317e-18 1.24948e-17 -1.59636e-18 4.09147e-19 -9.37937e-20 1.08773e-18 -2.68371e-19 1.25472e-21 1.69219e-19 2.81346e-18 -2.77178e-21 2.10719e-20 -3.7895e-19 0.141843 -6.2111e-19 -6.88179e-20 -1.47247e-23 2.55689e-20 3.22599e-33 1.058e-18 -2.67423e-19 -9.20785e-19 
0.028725 300.178 300.197 0.397893 0.824933 4320 0.378606 1.343 574.88 1591.82 1340.4 0.55 0.9 321236 0.6 -1017.17 -5181.68 0.658284 1.05185e-16 1.70875e-29 0.199873 -1.12178e-19 5.63232e-19 7.27225e-25 -2.54698e-18 1.40771e-17 -1.68169e-18 4.09147e-19 -1.35544e-19 1.08769e-18 -2.68363e-19 1.25472e-21 1.69219e-19 2.81347e-18 -2.47076e-21 2.1072e-20 -3.78951e-19 0.141843 -9.88494e-19 -7.67083e-21 -1.4734e-23 2.52217e-21 -7.93368e-35 1.4435e-18 -2.67416e-19 -9.20787e-19 
0.0335125 300.634 300.752 0.398498 0.824933 4320 0.378254 1.343 575.545 1591.82 1340.4 0.55 0.9 321504 0.6 -4006.82 -33916.3 0.658284 2.6607e-15 -1.21778e-31 0.199873 -1.11546e-19 5.59317e-19 -3.91536e-25 -2.93132e-18 1.4823e-17 -1.69086e-18 4.09147e-19 -1.58241e-19 1.08766e-18 -2.68359e-19 1.25472e-21 1.69219e-19 2.81347e-18 -2.6653e-21 2.1072e-20 -3.78951e-19 0.141843 -1.19531e-18 -1.53288e-21 -1.47383e-23 4.38104e-22 -9.37255e-35 1.651e-18 -2.67412e-19 -9.20788e-19 
0.0359063 301.404 301.8 0.399519 0.824933 4320 0.377406 1.343 576.796 1591.82 1340.4 0.55 0.9 321956 0.6 -10960.1 -116920 0.658284 3.48888e-14 -1.28745e-31 0.199873 -1.08405e-19 5.74735e-19 -6.48681e-25 -3.11563e-18 1.51808e-17 -1.69248e-18 4.09147e-19 -1.70219e-19 1.08765e-18 -2.68357e-19 1.25473e-21 1.69219e-19 2.81348e-18 -2.76748e-21 2.1072e-20 -3.78951e-19 0.141843 -1.30643e-18 -5.06932e-22 -1.47404e-23 1.19296e-22 -1.03006e-34 1.82054e-18 -2.67387e-19 -9.20788e-19 
0.0383 303.533 304.625 0.40234 0.824933 4320 0.375823 1.343 580.139 1591.82 1340.4 0.55 0.9 323207 0.6 -33427.6 -322295 0.658284 5.844e-13 -1.02848e-27 0.199873 -1.03089e-19 1.68758e-18 -9.12256e-25 -3.28808e-18 1.55201e-17 -1.69097e-18 4.09168e-19 -1.82929e-19 1.08765e-18 -2.68355e-19 1.2556e-21 1.69219e-19 2.81414e-18 -2.82379e-21 2.10764e-20 -3.7894e-19 0.141843 -1.42993e-18 -1.62608e-22 -1.47424e-23 1.31137e-22 -1.70344e-34 4.26724e-18 -2.65947e-19 -9.20785e-19 
0.0398625 306.676 309.128 0.406507 0.824933 4320 0.372916 1.343 585.373 1591.82 1340.4 0.55 0.9 325054 0.6 -85017.4 -722159 0.658284 5.66148e-12 -7.34634e-28 0.199873 -9.77871e-20 3.68749e-17 -1.3546e-24 -3.38919e-18 1.589e-17 -1.63687e-18 4.10058e-19 -1.88244e-19 1.08789e-18 -2.68353e-19 1.28959e-21 1.69219e-19 2.83622e-18 -2.79633e-21 2.12206e-20 -3.78541e-19 0.141843 -1.5106e-18 -6.56833e-23 -1.47421e-23 1.00345e-22 -2.05852e-34 5.24536e-17 -2.1803e-19 -9.20618e-19 
0.041425 313.292 318.394 0.415277 0.824933 4320 0.367164 1.343 595.79 1591.82 1340.4 0.55 0.9 328942 0.6 -237397 -1.4771e+06 0.658284 6.25373e-11 -3.27352e-28 0.199873 -8.4952e-20 1.35667e-15 -2.41756e-24 -3.33875e-18 2.2611e-17 5.06093e-19 4.56539e-19 -3.20078e-20 1.09725e-18 -2.68314e-19 2.88576e-21 1.69219e-19 3.71548e-18 -2.64236e-21 2.69992e-20 -3.62685e-19 0.141843 -1.08942e-18 -2.42128e-23 -1.4657e-23 4.73491e-23 -5.57649e-35 1.24408e-15 1.68824e-18 -9.12547e-19 
0.0429875 327.172 337.626 0.433675 0.824933 4320 0.356273 1.343 615.958 1591.82 1340.4 0.55 0.9 337104 0.6 -689216 -2.90198e+06 0.658284 6.78733e-10 2.27045e-27 0.199873 2.64498e-20 4.8783e-14 -4.41232e-24 2.01398e-18 2.69758e-16 8.25114e-17 2.7892e-18 7.41982e-18 1.45332e-18 -2.66604e-19 7.49799e-20 1.69221e-19 3.74934e-17 -2.22263e-21 2.50018e-19 2.45206e-19 0.141843 2.60624e-17 -7.19875e-24 -1.02612e-23 4.4107e-23 9.80817e-32 2.97145e-14 7.47678e-17 -5.37792e-19 
0.04455 356.23 377.333 0.472192 0.824933 4320 0.344023 1.343 651.936 1591.82 1340.4 0.55 0.9 354189 0.6 -2.01076e+06 -5.59886e+06 0.658284 6.93167e-09 1.54226e-24 0.199873 2.2108e-18 1.61589e-12 5.62384e-23 1.93845e-16 8.9483e-15 3.00366e-15 1.11187e-16 3.18645e-16 1.40589e-17 -1.95014e-19 3.0933e-18 1.69328e-19 1.24748e-15 4.63985e-21 8.25545e-18 2.19201e-17 0.141843 1.32589e-15 -1.25111e-24 1.9636e-22 3.0848e-21 6.73781e-29 6.63635e-13 2.68049e-15 1.55895e-17 
