#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.352211 0.824933 4320 0.378802 1.343 574.643 1591.82 1340.4 0.55 0.9 306658 0.6 -17.393 -nan 0.658284 -2.36689e-19 2.34934e-18 0.199873 3.94553e-18 -3.32844e-22 3.33246e-21 -3.91919e-18 1.81459e-19 -2.02378e-20 4.15753e-19 3.04307e-24 -1.19476e-20 -1.42723e-20 4.35881e-18 -1.9529e-21 1.01287e-17 1.0679e-21 -6.55882e-20 -1.11791e-22 0.141843 3.235e-18 -4.3463e-18 7.69356e-25 2.58638e-27 5.88519e-35 -3.86564e-22 -2.72636e-18 -4.53595e-21 
0.01915 300.058 300.061 0.352279 0.824933 4320 0.378718 1.343 574.717 1591.82 1340.4 0.55 0.9 306691 0.6 -277.794 -792.836 0.658284 3.09398e-17 1.16419e-23 0.199873 -6.30157e-19 -1.38098e-19 -2.80313e-24 -3.91919e-18 7.82477e-17 -8.8517e-18 4.15753e-19 1.576e-21 -1.19413e-20 -1.42723e-20 4.35881e-18 -1.9529e-21 1.01287e-17 4.16006e-23 -6.55882e-20 -1.11791e-22 0.141843 3.235e-18 -2.28499e-19 7.67784e-25 6.74626e-25 2.5565e-32 -2.48165e-19 -2.72636e-18 -4.53595e-21 
0.028725 300.346 300.38 0.352617 0.824933 4320 0.378434 1.343 575.099 1591.82 1340.4 0.55 0.9 306852 0.6 -1680.09 -8938.38 0.658284 1.38811e-15 1.17886e-28 0.199873 -7.85884e-19 -2.26888e-19 -3.62752e-24 -3.91919e-18 7.82481e-17 -9.2935e-18 4.15753e-19 1.63539e-21 -1.19381e-20 -1.42723e-20 4.35881e-18 -1.9529e-21 1.01287e-17 3.10526e-24 -6.55882e-20 -1.11787e-22 0.141843 3.235e-18 -2.26969e-20 7.66952e-25 5.98521e-26 1.12656e-36 -4.05406e-19 -2.72636e-18 -4.53595e-21 
0.0335125 301.158 301.351 0.35357 0.824933 4320 0.377845 1.343 576.262 1591.82 1340.4 0.55 0.9 307307 0.6 -6193.94 -53783.8 0.658284 3.12015e-14 2.50447e-33 0.199873 -7.67199e-19 -2.46723e-19 -3.6568e-24 -3.91918e-18 7.82482e-17 -9.3336e-18 4.15754e-19 1.67404e-21 -1.19363e-20 -1.42723e-20 4.35881e-18 -1.9529e-21 1.01288e-17 1.22152e-24 -6.55881e-20 -1.11425e-22 0.141843 3.23527e-18 -4.02911e-21 7.66519e-25 2.11492e-26 6.63536e-37 -4.21461e-19 -2.72632e-18 -4.53583e-21 
0.0359063 302.449 303.061 0.355086 0.824933 4320 0.376526 1.343 578.295 1591.82 1340.4 0.55 0.9 308032 0.6 -16364.1 -173805 0.658284 3.65007e-13 6.88514e-34 0.199873 -7.49773e-19 7.11502e-19 -3.75858e-24 -3.91907e-18 7.82528e-17 -9.33792e-18 4.15779e-19 2.97913e-21 -1.19259e-20 -1.42723e-20 4.35881e-18 -1.9529e-21 1.01295e-17 2.40192e-22 -6.55817e-20 -9.65029e-23 0.141843 3.25003e-18 -1.18445e-21 7.66326e-25 1.76154e-24 -2.61819e-37 1.16574e-18 -2.72437e-18 -4.52974e-21 
0.0383 305.823 307.422 0.359048 0.824933 4320 0.374189 1.343 583.404 1591.82 1340.4 0.55 0.9 309925 0.6 -48874.8 -451796 0.658284 5.41419e-12 1.21289e-32 0.199873 -7.27501e-19 5.14803e-17 -4.1568e-24 -3.913e-18 7.85e-17 -9.24181e-18 4.17627e-19 1.01515e-20 -1.14078e-20 -1.42709e-20 4.35889e-18 -1.9529e-21 1.01677e-17 -1.09995e-22 -6.52314e-20 7.2034e-22 0.141843 3.259e-18 -3.22517e-22 7.68693e-25 -8.00373e-25 -2.23003e-35 5.68903e-17 -2.6178e-18 -4.1249e-21 
0.0398625 310.595 314.018 0.36465 0.824933 4320 0.370138 1.343 590.93 1591.82 1340.4 0.55 0.9 312603 0.6 -123302 -965365 0.658284 4.67103e-11 2.84214e-30 0.199873 -7.06451e-19 1.45378e-15 -4.83319e-24 -3.7369e-18 8.56225e-17 -6.38199e-18 4.88655e-19 2.77525e-19 3.62313e-21 -1.42229e-20 4.36177e-18 -1.95284e-21 1.12863e-17 -4.23585e-22 -5.4911e-20 2.46229e-20 0.141843 4.04853e-18 -1.07072e-22 8.71023e-25 -3.12301e-24 -2.78623e-34 1.07097e-15 5.00616e-19 1.02601e-20 
0.041425 320.245 327.054 0.375979 0.824933 4320 0.362561 1.343 605.109 1591.82 1340.4 0.55 0.9 318021 0.6 -341747 -1.88281e+06 0.658284 4.54346e-10 9.0513e-28 0.199873 -6.06133e-19 4.71972e-14 -5.85728e-24 5.29612e-18 3.23299e-16 9.268e-17 3.71618e-18 1.12392e-17 5.21566e-19 -1.22607e-20 4.47953e-18 -1.95019e-21 5.01605e-17 -6.92591e-22 3.05626e-19 8.54086e-19 0.141843 4.18663e-17 -2.915e-23 5.59092e-24 1.20201e-23 8.56797e-32 2.3037e-14 1.08715e-16 6.15002e-19 
0.0429875 339.729 353.041 0.398854 0.824933 4320 0.349136 1.343 630.787 1591.82 1340.4 0.55 0.9 328963 0.6 -979513 -3.49545e+06 0.658284 4.30117e-09 3.84025e-25 0.199873 1.07499e-18 1.45524e-12 2.28457e-23 3.01912e-16 8.04952e-15 3.35766e-15 1.42767e-16 4.35122e-16 1.74972e-17 6.38807e-20 9.04901e-18 -1.83435e-21 1.33741e-15 4.23535e-21 1.22848e-17 2.82303e-17 0.141843 1.71299e-15 -5.29844e-24 2.11351e-22 1.25537e-21 5.81481e-29 4.76213e-13 3.68032e-15 2.47353e-17 
0.04455 378.955 404.469 0.444907 0.824933 4320 0.334914 1.343 672.649 1591.82 1340.4 0.55 0.9 350962 0.6 -2.78476e+06 -6.34366e+06 0.658284 3.77215e-08 2.41236e-22 0.199873 3.49066e-17 4.03931e-11 2.85106e-21 9.15895e-15 2.37293e-13 1.01592e-13 5.57454e-15 1.53121e-14 5.24926e-16 2.74658e-18 1.70044e-16 2.74788e-21 4.0334e-14 5.59126e-19 3.75255e-16 8.52214e-16 0.141843 6.86159e-14 -4.48853e-25 8.32508e-21 9.89707e-20 2.81564e-26 9.02431e-12 1.11179e-13 8.98133e-16 
