#x u T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
0.006880701817 0.345504368 300.0 300.0 0.6490772517 4.42150154e-56 8.123177419e-67 0.197077163 5.410300528e-51 7.509885794e-48 6.593421554e-52 6.030341793e-45 5.181103591e-35 1.974698945e-52 4.0554891e-62 7.647804914e-65 1.291978477e-47 4.51561145e-84 8.488944681e-80 1.663695647e-109 1.783990684e-83 1.448252616e-65 3.426547055e-68 4.92682422e-70 0.1538455853 8.713068778e-64 4.026925928e-99 3.977076339e-63 1.052294489e-67 2.480348948e-75 2.527811649e-35 1.109587017e-50 3.057520904e-71
0.007484444008 0.345504368 300.0 300.0 0.6490772517 1.611238404e-55 8.796891754e-67 0.197077163 6.268115473e-51 8.725520308e-48 7.136265059e-52 7.011132955e-45 5.609790414e-35 2.44608736e-52 5.012595381e-62 9.718181559e-65 1.501182189e-47 6.093153047e-84 1.145659097e-79 2.422598753e-109 2.266152261e-83 1.719517784e-65 4.244641253e-68 6.103036435e-70 0.1538455853 1.091171314e-63 5.221193176e-99 5.223478124e-63 1.251987844e-67 2.685921142e-75 2.735911148e-35 1.289269769e-50 3.828429137e-71
0.008079717517 0.345504368 300.0 300.0 0.6490772517 5.811751575e-55 9.458628247e-67 0.197077163 7.173485551e-51 1.001310567e-47 7.671496821e-52 8.050323856e-45 6.032464055e-35 2.978795069e-52 6.091500337e-62 1.210147856e-64 1.72277168e-47 8.026024001e-84 1.509328042e-79 3.421774875e-109 2.821077764e-83 2.010375412e-65 5.169171572e-68 7.432267685e-70 0.1538455853 1.341403634e-63 6.620644352e-99 6.717904368e-63 1.466483436e-67 2.888086972e-75 2.94109164e-35 1.479591526e-50 4.705736664e-71
0.008666641137 0.345504368 300.0 300.0 0.6490772517 2.075051393e-54 1.011082599e-66 0.197077163 8.123702711e-51 1.136915368e-47 8.199223517e-52 9.145085221e-45 6.44920886e-35 3.574531993e-52 7.295140352e-62 1.480992004e-64 1.956146389e-47 1.035417345e-83 1.947433501e-79 4.707654838e-109 3.45160282e-83 2.319905497e-65 6.203107031e-68 8.918785935e-70 0.1538455853 1.622963126e-63 8.23604882e-99 8.483878859e-63 1.695095336e-67 3.087372465e-75 3.143394068e-35 1.680036472e-50 5.692800204e-71
0.00924533199 0.345504368 300.0 300.0 0.6490772517 7.334030731e-54 1.075488887e-66 0.197077163 9.116171925e-51 1.279029413e-47 8.719550332e-52 1.029268346e-44 6.860107994e-35 4.2347273e-52 8.625879895e-62 1.785401524e-64 2.200726071e-47 1.311722279e-83 2.467446675e-79 6.330146271e-109 4.160164846e-83 2.647216044e-65 7.348929267e-68 1.05661585e-69 0.1538455853 1.936660889e-63 1.00768469e-98 1.054446016e-62 1.937155853e-67 3.283982385e-75 3.342858804e-35 1.890106235e-50 6.792457612e-71
0.009815905556 0.345504368 300.0 300.0 0.6490772517 2.56605658e-53 1.138902287e-66 0.197077163 1.014840661e-50 1.427327118e-47 9.232580975e-52 1.149047776e-44 7.265243452e-35 4.960548172e-52 1.008555417e-61 2.124266864e-64 2.455950178e-47 1.635419456e-83 3.076726549e-79 8.342312434e-109 4.948828623e-83 2.991443507e-65 8.608665119e-68 1.23772989e-69 0.1538455853 2.283169652e-63 1.215122323e-98 1.292211398e-62 2.192016895e-67 3.477686675e-75 3.539525652e-35 2.109319363e-50 8.007062263e-71
0.0103784757 0.345504368 300.0 300.0 0.6490772517 8.888266291e-53 1.201696788e-66 0.197077163 1.121802426e-50 1.581493993e-47 9.738417714e-52 1.27359173e-44 7.664696087e-35 5.752917615e-52 1.167550919e-61 2.49832852e-64 2.721277272e-47 2.010327531e-83 3.782475106e-79 1.080003145e-108 5.819310749e-83 3.351752659e-65 9.983917529e-68 1.435451125e-69 0.1538455853 2.663033083e-63 1.446618153e-98 1.563860298e-62 2.459050529e-67 3.669240093e-75 3.733433859e-35 2.337210811e-50 9.338515664e-71
0.01093315468 0.345504368 300.0 300.0 0.6490772517 3.047986296e-52 1.263453635e-66 0.197077163 1.232274223e-50 1.741226297e-47 1.023716137e-51 1.402653842e-44 8.058545605e-35 6.612531233e-52 1.339663937e-61 2.908187027e-64 2.996184424e-47 2.440160938e-83 4.591698346e-79 1.376164235e-108 6.773002831e-83 3.727336118e-65 1.147589468e-67 1.649953217e-69 0.1538455853 3.076674575e-63 1.702761827e-98 1.871489239e-62 2.737649054e-67 3.857810416e-75 3.924622118e-35 2.573331434e-50 1.078829822e-70
0.01148005319 0.345504368 300.0 300.0 0.6490772517 1.034837089e-51 1.324391699e-66 0.197077163 1.346037372e-50 1.90623072e-47 1.072891136e-51 1.535996208e-44 8.446870602e-35 7.539873213e-52 1.524942288e-61 3.35431248e-64 3.280166667e-47 2.92851215e-83 5.511172776e-79 1.728758425e-108 7.810993609e-83 4.117413746e-65 1.308543772e-67 1.881357065e-69 0.1538455853 3.524405611e-63 1.984039447e-98 2.217107031e-62 3.027224818e-67 4.043930442e-75 4.113128583e-35 2.817247511e-50 1.235749849e-70
0.01201928037 0.345504368 300.0 300.0 0.6490772517 3.478660076e-51 1.384434147e-66 0.197077163 1.462882394e-50 2.076224062e-47 1.121376571e-51 1.673389122e-44 8.829748573e-35 8.535231378e-52 1.723395482e-61 3.837053541e-64 3.572736444e-47 3.478836519e-83 6.547416757e-79 2.144003319e-108 8.934089865e-83 4.521231944e-65 1.481304691e-67 2.129734563e-69 0.1538455853 4.006433643e-63 2.290840449e-98 2.602628112e-62 3.32720986e-67 4.227208798e-75 4.298990872e-35 3.068540271e-50 1.404684083e-70
